Provincia,Cantón,Distrito,Densidad poblacional,Población total
Alajuela,Alajuela,San Isidro,552.3205535,19160
Alajuela,Alajuela,Sabanilla,262.459472,11333
Alajuela,Alajuela,San Rafael,2831.350233,54730
Alajuela,Alajuela,Río Segundo,2346.520147,12812
Alajuela,Alajuela,Desamparados,2299.76834,29782
Alajuela,Alajuela,Turrúcares,266.8152689,9576
Alajuela,Alajuela,Tambor,1140.892729,15847
Alajuela,Alajuela,Garita,274.2182891,9296
Alajuela,Alajuela,Sarapiquí,29.08867212,3310
Alajuela,San Ramón,San Ramón,6035.15625,7725
Alajuela,San Ramón,Santiago,107.1732722,6544
Alajuela,San Ramón,San Juan,2921.09375,14956
Alajuela,San Ramón,Piedades Norte,136.136745,6491
Alajuela,San Ramón,Piedades Sur,36.21032604,4187
Alajuela,San Ramón,San Rafael,336.5265559,10328
Alajuela,San Ramón,San Isidro,646.835443,5621
Alajuela,San Ramón,Ángeles,63.00789071,5350
Alajuela,San Ramón,Alfaro,477.1300448,8512
Alajuela,San Ramón,Volio,180.890179,3739
Alajuela,San Ramón,Concepción,322.5026288,3067
Alajuela,San Ramón,Zapotal,9.548636973,641
Alajuela,San Ramón,Peñas Blancas,46.43435981,11460
Alajuela,San Ramón,San Lorenzo,15.23593883,4643
Alajuela,Grecia,Grecia,1881.638045,14244
Alajuela,Grecia,San Isidro,406.6547831,6844
Alajuela,Grecia,San José,671.4746172,8333
Alajuela,Grecia,San Roque,488.0890538,13154
Alajuela,Grecia,Tacares,406.626506,10125
Alajuela,Grecia,Puente de Piedra,599.652627,13810
Alajuela,Grecia,Bolívar,315.6595192,9716
Alajuela,San Mateo,San Mateo,41.28525196,2679
Alajuela,San Mateo,Desmonte,49.60435213,1003
Alajuela,San Mateo,Jesús María,79.68917471,1487
Alajuela,San Mateo,Labrador,83.8664158,1783
Alajuela,Atenas,Atenas,801.0245902,7818
Alajuela,Atenas,Jesús,241.3583655,4371
Alajuela,Atenas,Mercedes,496.1734694,3890
Alajuela,Atenas,San Isidro,232.2446143,3342
Alajuela,Atenas,Concepción,229.6211775,5031
Alajuela,Atenas,San José,184.4840386,2485
Alajuela,Atenas,Santa Eulalia,180.3571429,2626
Alajuela,Atenas,Escobal,32.11567732,844
Alajuela,Naranjo,Naranjo,975.2522255,16433
Alajuela,Naranjo,San Miguel,349.198204,5444
Alajuela,Naranjo,San José,153.3971292,3206
Alajuela,Naranjo,Cirrí Sur,159.6075989,5125
Alajuela,Naranjo,San Jerónimo,440.1104972,3983
Alajuela,Naranjo,San Juan,482.2377622,3448
Alajuela,Naranjo,El Rosario,240.5247813,4125
Alajuela,Naranjo,Palmitos,593.3171324,4883
Alajuela,Palmares,Palmares,2470.588235,2940
Alajuela,Palmares,Zaragoza,1239.976275,10453
Alajuela,Palmares,Buenos Aires,1174.561404,8034
Alajuela,Palmares,Santiago,389.4604768,3104
Alajuela,Palmares,Candelaria,469.7033898,2217
Alajuela,Palmares,Esquipulas,1446.851852,7813
Alajuela,Palmares,La Granja,1044.874715,4587
Alajuela,Poás,San Pedro,686.4506627,9322
Alajuela,Poás,San Juan,312.1489621,5113
Alajuela,Poás,San Rafael,523.3427362,7421
Alajuela,Poás,Carrillos,1026.554788,10399
Alajuela,Poás,Sabana Redonda,195.546759,3952
Alajuela,Orotina,Orotina,504.6382189,10880
Alajuela,Orotina,El Mastate,229.4736842,2180
Alajuela,Orotina,Hacienda Vieja,69.1306919,1169
Alajuela,Orotina,Coyolar,207.8125,7581
Alajuela,Orotina,La Ceiba,39.68018464,2407
Alajuela,San Carlos,Quesada,327.3975467,46975
Alajuela,San Carlos,Florencia,98.10177301,19587
Alajuela,San Carlos,Buenavista,19.90758568,517
Alajuela,San Carlos,Aguas Zarcas,143.0479268,26564
Alajuela,San Carlos,Venecia,88.24417113,11695
Alajuela,San Carlos,Pital,53.4157724,20259
Alajuela,San Carlos,La Fortuna,70.34278496,16150
Alajuela,San Carlos,La Tigra,159.8292119,8984
Alajuela,San Carlos,La Palmera,118.8620965,11929
Alajuela,San Carlos,Venado,11.7382824,1986
Alajuela,San Carlos,Cutris,13.3352962,11323
Alajuela,San Carlos,Monterrey,17.49852668,3860
Alajuela,San Carlos,Pocosol,28.63480144,18913
Alajuela,Zarcero,Zarcero,401.9442096,4755
Alajuela,Zarcero,Laguna,87.80068729,2044
Alajuela,Zarcero,Tapezco,261.971831,1674
Alajuela,Zarcero,Guadalupe,65.19043401,1472
Alajuela,Zarcero,Palmira,51.64656016,1584
Alajuela,Zarcero,Zapote,22.83288651,1022
Alajuela,Zarcero,Brisas,145.7703081,2602
Alajuela,Sarchí,Sarchí Norte,392.9044465,8306
Alajuela,Sarchí,Sarchí Sur,907.2440945,5761
Alajuela,Sarchí,Toro Amarillo,3.818720509,348
Alajuela,Sarchí,San Pedro,380.4967801,4136
Alajuela,Sarchí,Rodríguez,413.5989011,3011
Alajuela,Upala,Upala,95.21695257,14154
Alajuela,Upala,Aguas Claras,13.82483967,5648
Alajuela,Upala,San José o Pizote,38.86767333,11094
Alajuela,Upala,Bijagua,29.31477516,5476
Alajuela,Upala,Delicias,71.77222899,7071
Alajuela,Upala,Dos Ríos,21.47985549,4697
Alajuela,Upala,Yolillal,29.68772382,4145
Alajuela,Upala,Canalete,47.68435885,5076
Alajuela,Los Chiles,Los Chiles,40.79825258,20546
Alajuela,Los Chiles,Caño Negro,7.770438477,2341
Alajuela,Los Chiles,El Amparo,25.05992521,7841
Alajuela,Los Chiles,San Jorge,18.48336823,3973
Alajuela,Guatuso,San Rafael,28.71147077,8728
Alajuela,Guatuso,Buenavista,13.24406735,1998
Alajuela,Guatuso,Cote,5.89933544,1083
Alajuela,Guatuso,Katira,56.87937063,6507
Alajuela,Río Cuarto,Río Cuarto,46.732227,4562
Alajuela,Río Cuarto,Santa Rita,108.8550479,5790
Alajuela,Río Cuarto,Santa Isabel,39.06234989,4066
Cartago,Cartago,Oriental,5430.882353,11079
Cartago,Cartago,Occidental,5310.447761,10674
Cartago,Cartago,Carmen,4449.191686,19265
Cartago,Cartago,San Nicolás,976.5309613,28544
Cartago,Cartago,Aguacaliente o San Francisco,325.9218215,32351
Cartago,Cartago,Guadalupe o Arenilla,1077.659574,14182
Cartago,Cartago,Corralillo,402.3554604,13153
Cartago,Cartago,Tierra Blanca,362.109375,4635
Cartago,Cartago,Dulce Nombre,492.2413793,16559
Cartago,Cartago,Llano Grande,160.0988468,4859
Cartago,Cartago,Quebradilla,528.2506527,10116
Cartago,Paraíso,Paraíso,930.9900626,25295
Cartago,Paraíso,Santiago,260.6084243,6682
Cartago,Paraíso,Orosi,24.80480161,9340
Cartago,Paraíso,Cachí,167.988324,6906
Cartago,Paraíso,Llanos de Santa Lucía,2709.174312,17718
Cartago,La Unión,Tres Ríos,3280.701754,7480
Cartago,La Unión,San Diego,2811.138614,22714
Cartago,La Unión,San Juan,3533.164557,13956
Cartago,La Unión,San Rafael,1494.842105,14201
Cartago,La Unión,Concepción,4684.69657,17755
Cartago,La Unión,Dulce Nombre,868.8861985,7177
Cartago,La Unión,San Ramón,1336.887608,4639
Cartago,La Unión,Río Azul,2395.257732,11617
Cartago,Jiménez,Juan Viñas,194.4431635,8433
Cartago,Jiménez,Tucurrique,167.0149254,5595
Cartago,Jiménez,Pejibaye,27.03233256,4682
Cartago,Turrialba,Turrialba,523.0443228,29620
Cartago,Turrialba,La Suiza,54.81265146,8821
Cartago,Turrialba,Peralta,77.50257998,751
Cartago,Turrialba,Santa Cruz,37.14594428,4813
Cartago,Turrialba,Santa Teresita,101.7791819,6121
Cartago,Turrialba,Pavones,129.6789536,5453
Cartago,Turrialba,Tuis,82.85714286,3248
Cartago,Turrialba,Tayutic,42.1559449,3152
Cartago,Turrialba,Santa Rosa,319.7099893,5953
Cartago,Turrialba,Tres Equis,64.57374831,2386
Cartago,Turrialba,La Isabel,335.9777665,6649
Cartago,Turrialba,Chirripó,5.418216601,5098
Cartago,Alvarado,Pacayas,211.2424038,6257
Cartago,Alvarado,Cervantes,544.9934124,8273
Cartago,Alvarado,Capellades,75.71968596,2604
Cartago,Oreamuno,San Rafael,2764.980545,28424
Cartago,Oreamuno,Cot,722.6783311,10739
Cartago,Oreamuno,Potrero Cerrado,132.6339039,2402
Cartago,Oreamuno,Cipreses,457.5240128,4287
Cartago,Oreamuno,Santa Rosa,20.35669129,3059
Cartago,El Guarco,El Tejar,4506.862745,27582
Cartago,El Guarco,San Isidro,86.44721234,11660
Cartago,El Guarco,Tobosi,381.10668,7645
Cartago,El Guarco,Patio de Agua,44.60694698,488
Heredia,Heredia,Heredia,5834.265734,16686
Heredia,Heredia,Mercedes,7135.421687,29612
Heredia,Heredia,San Francisco,7439.634146,48804
Heredia,Heredia,Ulloa,3165.817223,36027
Heredia,Heredia,Varablanca,2.990277724,772
Heredia,Barva,Barva,5260.714286,4419
Heredia,Barva,San Pedro,1757.740586,12603
Heredia,Barva,San Pablo,1396.339678,9537
Heredia,Barva,San Roque,4696.875,6012
Heredia,Barva,Santa Lucía,3159.090909,9035
Heredia,Barva,San José de la Montaña,164.4978402,6093
Heredia,Santo Domingo,Santo Domingo,5194.871795,4052
Heredia,Santo Domingo,San Vicente,2455.902778,7073
Heredia,Santo Domingo,San Miguel,1362.372881,8038
Heredia,Santo Domingo,Paracito,2021.259843,2567
Heredia,Santo Domingo,Santo Tomás,2101.694915,7440
Heredia,Santo Domingo,Santa Rosa,1831.147541,7819
Heredia,Santo Domingo,Tures,1258.354756,4895
Heredia,Santo Domingo,Pará,1410.452962,4048
Heredia,Santa Bárbara,Santa Bárbara,4007.8125,5130
Heredia,Santa Bárbara,San Pedro,2014.84375,5158
Heredia,Santa Bárbara,San Juan,1943.526786,8707
Heredia,Santa Bárbara,Jesús,962.2421525,10729
Heredia,Santa Bárbara,Santo Domingo,124.8773122,3308
Heredia,Santa Bárbara,Purabá,993.6482085,6101
Heredia,San Rafael,San Rafael,6752.631579,8981
Heredia,San Rafael,San Josecito,7857.037037,10607
Heredia,San Rafael,Santiago,5126.11465,8048
Heredia,San Rafael,Ángeles,591.1487759,12556
Heredia,San Rafael,Concepción,379.3163891,8656
Heredia,San Isidro,San Isidro,2608.614232,6965
Heredia,San Isidro,San José,696.7458223,7922
Heredia,San Isidro,Concepción,389.9628253,3147
Heredia,San Isidro,San Francisco,1046.491228,4772
Heredia,Belén,San Antonio,3310.11236,11784
Heredia,Belén,La Ribera,1806.103286,7694
Heredia,Belén,La Asunción,938.8157895,4281
Heredia,Flores,San Joaquín,2838.181818,7805
Heredia,Flores,Barrantes,2514.953271,5382
Heredia,Flores,Llorente,4752.150538,8839
Heredia,San Pablo,San Pablo,3302.023609,19581
Heredia,San Pablo,Rincón de Sabanilla,4265.145228,10279
Heredia,Sarapiquí,Puerto Viejo,54.24717633,23246
Heredia,Sarapiquí,La Virgen,25.42056438,13071
Heredia,Sarapiquí,Las Horquetas,49.5049505,27950
Heredia,Sarapiquí,Llanuras del Gaspar,5.070728239,1355
Heredia,Sarapiquí,Cureña,4.141195564,1531
Guanacaste,Liberia,Liberia,117.0864268,65922
Guanacaste,Liberia,Cañas Dulces,18.43391808,4487
Guanacaste,Liberia,Mayorga,10.37317041,2360
Guanacaste,Liberia,Nacascolo,11.93600685,3902
Guanacaste,Liberia,Curubandé,42.53566158,3459
Guanacaste,Nicoya,Nicoya,107.2426447,33316
Guanacaste,Nicoya,Mansión,30.15790714,6398
Guanacaste,Nicoya,San Antonio,23.65537555,8031
Guanacaste,Nicoya,Quebrada Honda,29.89832372,3264
Guanacaste,Nicoya,Sámara,32.33357718,3536
