muestra,modelo,pares,rutas_diferentes,tiempo_determinista_promedio_min,media_simulada_promedio_min,desviacion_simulada_promedio_min,p90_promedio_min,IC_promedio_pct
Original,Menor tiempo,3,1,9.052869948098511,9.064038138847595,1.431446220758471,10.947750156218005,83.69999999999999
Adicional,Menor tiempo,30,11,6.359450453057031,6.367626985985796,0.9846355868352723,7.662540228998627,83.57
Original,Ajustada por variabilidad,3,1,9.061993659713997,9.07359399878558,1.432923755375305,10.951164878183183,83.73333333333333
Adicional,Ajustada por variabilidad,30,11,6.441992552570306,6.449272879194369,0.9967786508515045,7.761244756748094,83.58
