origen,destino,costo_astar_min,costo_dijkstra_min,diferencia_abs,coincide,NE_astar,NE_dijkstra,reduccion_NE_pct,ms_astar,ms_dijkstra
274952796,3856047957,3.342601977025545,3.3426019770255455,4.440892098500626e-16,True,611,882,30.725623582766442,20.42259997688234,5.903699900954962
277487501,1833468917,8.844071357878896,8.844071357878898,1.7763568394002505e-15,True,3492,4395,20.54607508532423,82.67090003937483,42.29440004564822
180263105,277549032,5.4287250758246675,5.42872507582467,2.6645352591003757e-15,True,1044,2368,55.91216216216216,39.79910002090037,29.933399986475706
277481736,3678471216,7.82698612536766,7.82698612536766,0.0,True,3053,2961,-3.1070584262073626,97.14130009524524,23.282499983906746
2111627983,6620822662,13.971938594815596,13.971938594815596,0.0,True,5853,5921,1.1484546529302482,159.5314999576658,47.57290007546544
274059099,3930813465,3.842101679381061,3.842101679381061,0.0,True,796,1074,25.884543761638735,25.791299995034933,12.769100023433566
276835542,269911097,1.4602916156655343,1.4602916156655346,2.220446049250313e-16,True,86,134,35.82089552238806,14.404700137674809,0.9894000831991434
11120776665,2349458673,11.29547556258627,11.295475562586272,1.7763568394002505e-15,True,4461,5776,22.76662049861496,168.54269988834858,69.70110000111163
276816089,1832847474,9.190403182330334,9.190403182330334,0.0,True,4537,5168,12.209752321981423,116.5128001011908,47.804499976336956
2691204863,273143369,9.27966845839688,9.27966845839688,0.0,True,4156,3923,-5.939332143767525,80.75099997222424,29.145600041374564
1833569009,3655894905,5.021263854930554,5.021263854930554,0.0,True,1050,1805,41.82825484764543,26.96199994534254,15.571099938824773
276626421,273438287,5.452613688678282,5.452613688678282,0.0,True,1204,1779,32.321528948847664,28.10640004463494,13.2619000505656
276237008,3864989124,10.573979681345984,10.573979681345985,1.7763568394002505e-15,True,4959,5365,7.567567567567568,117.28550004772842,46.07599996961653
277953706,269867473,4.439999121343785,4.439999121343787,1.7763568394002505e-15,True,678,1465,53.720136518771334,19.242800073698163,11.05570001527667
3678471210,1834302334,5.137916687965119,5.13791668796512,8.881784197001252e-16,True,1478,2659,44.41519368183528,43.01290004514158,30.62910004518926
278287726,278092619,1.816161182382217,1.8161611823822172,2.220446049250313e-16,True,183,380,51.84210526315789,13.656399911269546,3.4341001883149147
273449414,277487499,9.644033809077012,9.644033809077017,5.329070518200751e-15,True,4272,5617,23.94516645896386,98.7007999792695,50.49200006760657
1104265987,278332812,4.6127399421718795,4.61273994217188,8.881784197001252e-16,True,327,500,34.599999999999994,14.771200018003583,3.9325000252574682
1834302349,277955141,2.3670934841812192,2.3670934841812192,0.0,True,202,219,7.76255707762557,12.804999947547913,4.276499850675464
11119557021,276161281,8.412470080462132,8.412470080462132,0.0,True,2176,3673,40.756874489518104,43.725800001993775,29.032499995082617
4211003892,11105705672,7.79892392692877,7.79892392692877,0.0,True,2200,4719,53.379953379953385,50.748399924486876,39.578599855303764
1514233762,442725251,3.702074778203415,3.7020747782034165,1.3322676295501878e-15,True,273,160,-70.625,12.289099860936403,0.8753999136388302
277261695,278287170,6.2249251294905115,6.2249251294905115,0.0,True,1663,2817,40.96556620518282,36.90949990414083,28.446600073948503
3492007064,780944808,3.10343262227389,3.103432622273891,8.881784197001252e-16,True,335,706,52.54957507082153,22.10160018876195,13.855299912393093
277954696,277932933,4.877610466027746,4.877610466027746,0.0,True,682,1570,56.560509554140125,35.12539993971586,27.636799961328506
277148569,115576400,6.560680316426437,6.560680316426439,2.6645352591003757e-15,True,1375,2024,32.065217391304344,48.73689985834062,18.249399960041046
277931903,2021882926,9.228405909899573,9.228405909899573,0.0,True,2400,4106,41.54895275207014,102.06880001351237,36.30829998292029
276557494,180258194,2.4313471850400346,2.4313471850400346,0.0,True,218,432,49.53703703703704,12.84260000102222,2.7993000112473965
277953178,2089503516,7.251919931432327,7.2519199314323295,2.6645352591003757e-15,True,1797,2895,37.92746113989637,42.70009999163449,22.05369994044304
334434378,578334164,7.643658164177543,7.643658164177544,8.881784197001252e-16,True,2747,4164,34.029779058597505,53.47969988361001,32.86610008217394
