par,repeticiones,media_optima_min,RV_pct,IC_pct
Estadio Oeste → San Pedro,200,9.862334812836712,7.374938778365192,84.5
Estadio Oeste → San Pedro,1000,9.93227905407216,9.155451341263898,84.2
Estadio Oeste → San Pedro,5000,9.920721436619084,9.0997334758677,84.5
Cuatro Reinas → Paso Ancho,200,8.120409604684488,2.7966667270436174,84.0
Cuatro Reinas → Paso Ancho,1000,8.190793065965485,4.34111616077365,84.0
Cuatro Reinas → Paso Ancho,5000,8.205898227653512,4.0268828477528995,84.06
Hatillo → Curridabat,200,9.125908084502449,26.18514967422404,81.5
Hatillo → Curridabat,1000,9.05045951435483,27.71508044921679,82.19999999999999
Hatillo → Curridabat,5000,9.002517998215128,27.288118134191564,83.22
