par,factor_velocidad_imputada,tiempo_optimo_min,tiempo_base_min,RT_pct
Estadio Oeste → San Pedro,0.85,10.182204341356183,11.590559578417706,12.150882168656997
Cuatro Reinas → Paso Ancho,0.85,9.161357876616963,9.753841867225571,6.0743653493035055
Hatillo → Curridabat,0.85,9.406017455904665,13.398758220111077,29.79933437572927
Estadio Oeste → San Pedro,1.0,9.956304922566137,11.105642552947813,10.349132208262938
Cuatro Reinas → Paso Ancho,1.0,8.22107514218168,8.592027842289184,4.317405703479077
Hatillo → Curridabat,1.0,8.981229779547716,12.449960067978544,27.861376819612833
Estadio Oeste → San Pedro,1.15,9.789335786938711,10.747225621078758,8.912903366067965
Cuatro Reinas → Paso Ancho,1.15,7.526083555859955,7.7332957369014235,2.6794808848794136
Hatillo → Curridabat,1.15,8.66725627963171,11.748674477271896,26.227794493764094
