par,tipo_ruta,tiempo_min
Estadio Oeste → San Pedro,Ruta optimizada,8.67560335114425
Estadio Oeste → San Pedro,Ruta optimizada,9.54354743426711
Estadio Oeste → San Pedro,Ruta optimizada,12.761054084473416
Estadio Oeste → San Pedro,Ruta optimizada,9.025955207366263
Estadio Oeste → San Pedro,Ruta optimizada,11.761564266049092
Estadio Oeste → San Pedro,Ruta optimizada,8.391954167755545
Estadio Oeste → San Pedro,Ruta optimizada,9.584028975374215
Estadio Oeste → San Pedro,Ruta optimizada,8.3548256053128
Estadio Oeste → San Pedro,Ruta optimizada,9.204603181128347
Estadio Oeste → San Pedro,Ruta optimizada,11.487837425147271
Estadio Oeste → San Pedro,Ruta optimizada,7.804742852467857
Estadio Oeste → San Pedro,Ruta optimizada,10.698111839788783
Estadio Oeste → San Pedro,Ruta optimizada,10.29295315640192
Estadio Oeste → San Pedro,Ruta optimizada,9.259474583634507
Estadio Oeste → San Pedro,Ruta optimizada,7.757005674480571
Estadio Oeste → San Pedro,Ruta optimizada,9.61691593615869
Estadio Oeste → San Pedro,Ruta optimizada,8.916969244934212
Estadio Oeste → San Pedro,Ruta optimizada,10.112931647094154
Estadio Oeste → San Pedro,Ruta optimizada,9.92353399742533
Estadio Oeste → San Pedro,Ruta optimizada,11.524768062428752
Estadio Oeste → San Pedro,Ruta optimizada,9.128305762239284
Estadio Oeste → San Pedro,Ruta optimizada,8.160383613728083
Estadio Oeste → San Pedro,Ruta optimizada,10.14587146255772
Estadio Oeste → San Pedro,Ruta optimizada,10.328382434955895
Estadio Oeste → San Pedro,Ruta optimizada,11.980543305330732
Estadio Oeste → San Pedro,Ruta optimizada,11.316096662873761
Estadio Oeste → San Pedro,Ruta optimizada,10.44399303046156
Estadio Oeste → San Pedro,Ruta optimizada,11.957046505438987
Estadio Oeste → San Pedro,Ruta optimizada,8.752604778676591
Estadio Oeste → San Pedro,Ruta optimizada,9.43258807646107
Estadio Oeste → San Pedro,Ruta optimizada,8.428798423157117
Estadio Oeste → San Pedro,Ruta optimizada,8.857607716741933
Estadio Oeste → San Pedro,Ruta optimizada,7.662319324374763
Estadio Oeste → San Pedro,Ruta optimizada,10.375582376204113
Estadio Oeste → San Pedro,Ruta optimizada,9.793746528693521
Estadio Oeste → San Pedro,Ruta optimizada,7.912209553336339
Estadio Oeste → San Pedro,Ruta optimizada,8.338033553093634
Estadio Oeste → San Pedro,Ruta optimizada,9.956567607834595
Estadio Oeste → San Pedro,Ruta optimizada,11.658657175961391
Estadio Oeste → San Pedro,Ruta optimizada,13.18095528854301
Estadio Oeste → San Pedro,Ruta optimizada,15.39829788057442
Estadio Oeste → San Pedro,Ruta optimizada,10.872801254862733
Estadio Oeste → San Pedro,Ruta optimizada,8.977046021695918
Estadio Oeste → San Pedro,Ruta optimizada,6.936350218089015
Estadio Oeste → San Pedro,Ruta optimizada,10.28557844746481
Estadio Oeste → San Pedro,Ruta optimizada,8.938277299479031
Estadio Oeste → San Pedro,Ruta optimizada,9.263445882802776
Estadio Oeste → San Pedro,Ruta optimizada,8.99816111516967
Estadio Oeste → San Pedro,Ruta optimizada,9.765492448468835
Estadio Oeste → San Pedro,Ruta optimizada,11.558119924923377
Estadio Oeste → San Pedro,Ruta optimizada,10.37473124675055
Estadio Oeste → San Pedro,Ruta optimizada,9.50159950109552
Estadio Oeste → San Pedro,Ruta optimizada,8.506772299883163
Estadio Oeste → San Pedro,Ruta optimizada,7.524221295988965
Estadio Oeste → San Pedro,Ruta optimizada,9.189425184092313
Estadio Oeste → San Pedro,Ruta optimizada,9.474348167726546
Estadio Oeste → San Pedro,Ruta optimizada,13.18364921582254
Estadio Oeste → San Pedro,Ruta optimizada,9.910876962315038
Estadio Oeste → San Pedro,Ruta optimizada,11.53758503011872
Estadio Oeste → San Pedro,Ruta optimizada,9.165354516240338
Estadio Oeste → San Pedro,Ruta optimizada,8.536878772737325
Estadio Oeste → San Pedro,Ruta optimizada,8.022927056846688
Estadio Oeste → San Pedro,Ruta optimizada,8.912445238438497
Estadio Oeste → San Pedro,Ruta optimizada,14.760185396426042
Estadio Oeste → San Pedro,Ruta optimizada,8.402978593289768
Estadio Oeste → San Pedro,Ruta optimizada,11.257444870698594
Estadio Oeste → San Pedro,Ruta optimizada,8.77436718255575
Estadio Oeste → San Pedro,Ruta optimizada,11.613774271384598
Estadio Oeste → San Pedro,Ruta optimizada,10.486932457093449
Estadio Oeste → San Pedro,Ruta optimizada,9.83346065432633
Estadio Oeste → San Pedro,Ruta optimizada,9.800708515532344
Estadio Oeste → San Pedro,Ruta optimizada,9.196823550453468
Estadio Oeste → San Pedro,Ruta optimizada,10.464261872776962
Estadio Oeste → San Pedro,Ruta optimizada,9.119881210200155
Estadio Oeste → San Pedro,Ruta optimizada,7.748061371475557
Estadio Oeste → San Pedro,Ruta optimizada,8.062628843697
Estadio Oeste → San Pedro,Ruta optimizada,9.89879121818576
Estadio Oeste → San Pedro,Ruta optimizada,12.163887408665081
Estadio Oeste → San Pedro,Ruta optimizada,9.949721376445607
Estadio Oeste → San Pedro,Ruta optimizada,9.760281682801917
Estadio Oeste → San Pedro,Ruta optimizada,10.666423528781426
Estadio Oeste → San Pedro,Ruta optimizada,11.597745406934237
Estadio Oeste → San Pedro,Ruta optimizada,10.049561408443349
Estadio Oeste → San Pedro,Ruta optimizada,8.950962605314247
Estadio Oeste → San Pedro,Ruta optimizada,12.065090103625325
Estadio Oeste → San Pedro,Ruta optimizada,10.118344903122148
Estadio Oeste → San Pedro,Ruta optimizada,12.118883732334263
Estadio Oeste → San Pedro,Ruta optimizada,10.539323550558933
Estadio Oeste → San Pedro,Ruta optimizada,7.87193426649287
Estadio Oeste → San Pedro,Ruta optimizada,7.956599929904736
Estadio Oeste → San Pedro,Ruta optimizada,12.492078343848174
Estadio Oeste → San Pedro,Ruta optimizada,13.122494016778656
Estadio Oeste → San Pedro,Ruta optimizada,9.772216728162057
Estadio Oeste → San Pedro,Ruta optimizada,9.66170540633117
Estadio Oeste → San Pedro,Ruta optimizada,12.216768606935586
Estadio Oeste → San Pedro,Ruta optimizada,8.425808259856987
Estadio Oeste → San Pedro,Ruta optimizada,8.509584603677277
Estadio Oeste → San Pedro,Ruta optimizada,10.53794013144572
Estadio Oeste → San Pedro,Ruta optimizada,9.113187573932983
Estadio Oeste → San Pedro,Ruta optimizada,9.734796995074355
Estadio Oeste → San Pedro,Ruta optimizada,9.504792283036867
Estadio Oeste → San Pedro,Ruta optimizada,10.527352979275891
Estadio Oeste → San Pedro,Ruta optimizada,11.869455728922913
Estadio Oeste → San Pedro,Ruta optimizada,9.64223454652401
Estadio Oeste → San Pedro,Ruta optimizada,10.861987424024838
Estadio Oeste → San Pedro,Ruta optimizada,7.324116457996048
Estadio Oeste → San Pedro,Ruta optimizada,9.863237013800132
Estadio Oeste → San Pedro,Ruta optimizada,8.9235572534237
Estadio Oeste → San Pedro,Ruta optimizada,8.333507533749803
Estadio Oeste → San Pedro,Ruta optimizada,8.556838287094456
Estadio Oeste → San Pedro,Ruta optimizada,9.1803997642037
Estadio Oeste → San Pedro,Ruta optimizada,11.088576407342682
Estadio Oeste → San Pedro,Ruta optimizada,7.806103821141815
Estadio Oeste → San Pedro,Ruta optimizada,9.403547152430066
Estadio Oeste → San Pedro,Ruta optimizada,9.158461214744909
Estadio Oeste → San Pedro,Ruta optimizada,9.215858130703994
Estadio Oeste → San Pedro,Ruta optimizada,11.164036938295848
Estadio Oeste → San Pedro,Ruta optimizada,10.510155301196551
Estadio Oeste → San Pedro,Ruta optimizada,12.163400102807373
Estadio Oeste → San Pedro,Ruta optimizada,9.634983525592427
Estadio Oeste → San Pedro,Ruta optimizada,8.681654698591503
Estadio Oeste → San Pedro,Ruta optimizada,9.721132068534942
Estadio Oeste → San Pedro,Ruta optimizada,10.179487825369533
Estadio Oeste → San Pedro,Ruta optimizada,10.289900055102315
Estadio Oeste → San Pedro,Ruta optimizada,8.676378437968953
Estadio Oeste → San Pedro,Ruta optimizada,9.49956136912509
Estadio Oeste → San Pedro,Ruta optimizada,10.543892324709736
Estadio Oeste → San Pedro,Ruta optimizada,14.217772007005024
