par,sigma_general,desviacion_optima_min,RV_pct,IC_pct
Estadio Oeste → San Pedro,0.05,0.5774051840037625,2.88519229440678,99.3
Estadio Oeste → San Pedro,0.15,1.511865093625382,8.949969465178143,84.2
Estadio Oeste → San Pedro,0.3,3.0062556163328797,10.71951586625084,74.4
Cuatro Reinas → Paso Ancho,0.05,0.48856291550183784,0.06903965856224215,99.6
Cuatro Reinas → Paso Ancho,0.15,1.2676573765057402,3.386541467809756,84.0
Cuatro Reinas → Paso Ancho,0.3,2.527229689948967,3.5603941136686967,74.5
Hatillo → Curridabat,0.05,0.5104121012963553,27.277510958563354,99.3
Hatillo → Curridabat,0.15,1.3952636616057166,30.299726794240012,82.19999999999999
Hatillo → Curridabat,0.3,2.8243786401494355,30.688828683539484,72.39999999999999
