par,modelo1_tiempo_determinista_min,modelo2_tiempo_medio_simulado_min,modelo2_desviacion_min,sesgo_min,error_relativo_pct,ic90_ancho_min,cobertura_subestimacion_pct
Estadio Oeste → San Pedro,9.956304922566137,9.93227905407216,1.511865093625382,-0.024025868493977143,-0.24131310441810697,4.889723184914023,47.0
Cuatro Reinas → Paso Ancho,8.22107514218168,8.190793065965485,1.2676573765057402,-0.03028207621619572,-0.3683469095279375,4.169673792111249,46.6
Hatillo → Curridabat,8.981229779547716,9.05045951435483,1.3952636616057166,0.0692297348071147,0.7708268968328413,4.362644782489001,49.0
